id,country,state,city,station,pollutant_id,last_update,pollutant_min,pollutant_max,pollutant_avg
48,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",PM10,21-10-2021 01:00:00,30.0,60.0,42.0
49,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",NO2,21-10-2021 01:00:00,15.0,42.0,24.0
50,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",NH3,21-10-2021 01:00:00,1.0,4.0,2.0
51,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",SO2,21-10-2021 01:00:00,1.0,6.0,3.0
52,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",CO,21-10-2021 01:00:00,38.0,54.0,42.0
53,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",OZONE,21-10-2021 01:00:00,1.0,49.0,17.0
54,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",PM2.5,21-10-2021 01:00:00,35.0,131.0,83.0
55,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",PM10,21-10-2021 01:00:00,35.0,85.0,60.0
56,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",NO2,21-10-2021 01:00:00,9.0,11.0,10.0
57,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",NH3,21-10-2021 01:00:00,1.0,3.0,1.0
58,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",SO2,21-10-2021 01:00:00,2.0,11.0,7.0
59,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",CO,21-10-2021 01:00:00,36.0,80.0,72.0
60,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",OZONE,21-10-2021 01:00:00,3.0,59.0,35.0
61,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",PM2.5,21-10-2021 01:00:00,34.0,95.0,51.0
62,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",PM10,21-10-2021 01:00:00,43.0,123.0,65.0
63,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",NO2,21-10-2021 01:00:00,10.0,18.0,13.0
64,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",NH3,21-10-2021 01:00:00,3.0,4.0,4.0
65,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",SO2,21-10-2021 01:00:00,1.0,106.0,10.0
66,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",CO,21-10-2021 01:00:00,13.0,58.0,46.0
67,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",OZONE,21-10-2021 01:00:00,2.0,103.0,50.0
68,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",PM2.5,21-10-2021 01:00:00,10.0,474.0,77.0
69,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",NO2,21-10-2021 01:00:00,2.0,15.0,4.0
70,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",SO2,21-10-2021 01:00:00,4.0,12.0,8.0
71,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",CO,21-10-2021 01:00:00,32.0,72.0,52.0
72,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",OZONE,21-10-2021 01:00:00,9.0,15.0,13.0
73,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",PM2.5,21-10-2021 01:00:00,35.0,76.0,55.0
74,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",PM10,21-10-2021 01:00:00,76.0,148.0,114.0
75,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",NO2,21-10-2021 01:00:00,1.0,295.0,64.0
76,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",NH3,21-10-2021 01:00:00,2.0,54.0,12.0
77,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",SO2,21-10-2021 01:00:00,4.0,5.0,4.0
78,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",CO,21-10-2021 01:00:00,25.0,100.0,45.0
79,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",OZONE,21-10-2021 01:00:00,37.0,42.0,39.0
80,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",PM2.5,21-10-2021 01:00:00,32.0,97.0,65.0
81,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",PM10,21-10-2021 01:00:00,32.0,108.0,77.0
82,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",NO2,21-10-2021 01:00:00,10.0,38.0,25.0
83,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",NH3,21-10-2021 01:00:00,2.0,3.0,2.0
84,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",SO2,21-10-2021 01:00:00,8.0,24.0,16.0
85,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",CO,21-10-2021 01:00:00,16.0,56.0,40.0
86,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",OZONE,21-10-2021 01:00:00,17.0,49.0,33.0
87,India,Bihar,Patna,"Muradpur, Patna - BSPCB",PM2.5,21-10-2021 01:00:00,21.0,64.0,46.0
88,India,Bihar,Patna,"Muradpur, Patna - BSPCB",PM10,21-10-2021 01:00:00,57.0,136.0,111.0
89,India,Bihar,Patna,"Muradpur, Patna - BSPCB",NO2,21-10-2021 01:00:00,12.0,69.0,26.0
90,India,Bihar,Patna,"Muradpur, Patna - BSPCB",NH3,21-10-2021 01:00:00,4.0,32.0,6.0
91,India,Bihar,Patna,"Muradpur, Patna - BSPCB",SO2,21-10-2021 01:00:00,5.0,10.0,8.0
92,India,Bihar,Patna,"Muradpur, Patna - BSPCB",CO,21-10-2021 01:00:00,57.0,112.0,98.0
93,India,Bihar,Patna,"Muradpur, Patna - BSPCB",OZONE,21-10-2021 01:00:00,37.0,207.0,137.0
94,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",PM2.5,21-10-2021 01:00:00,51.0,144.0,84.0
95,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",PM10,21-10-2021 01:00:00,50.0,127.0,95.0
96,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",NO2,21-10-2021 01:00:00,14.0,61.0,32.0
97,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",NH3,21-10-2021 01:00:00,3.0,4.0,4.0
98,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",SO2,21-10-2021 01:00:00,1.0,6.0,3.0
99,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",CO,21-10-2021 01:00:00,22.0,81.0,44.0
100,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",OZONE,21-10-2021 01:00:00,5.0,61.0,27.0
101,India,Bihar,Patna,"Samanpura, Patna - BSPCB",PM2.5,21-10-2021 01:00:00,61.0,166.0,107.0
102,India,Bihar,Patna,"Samanpura, Patna - BSPCB",PM10,21-10-2021 01:00:00,41.0,114.0,94.0
103,India,Bihar,Patna,"Samanpura, Patna - BSPCB",NO2,21-10-2021 01:00:00,4.0,16.0,13.0
104,India,Bihar,Patna,"Samanpura, Patna - BSPCB",NH3,21-10-2021 01:00:00,4.0,28.0,5.0
105,India,Bihar,Patna,"Samanpura, Patna - BSPCB",SO2,21-10-2021 01:00:00,2.0,13.0,6.0
106,India,Bihar,Patna,"Samanpura, Patna - BSPCB",CO,21-10-2021 01:00:00,19.0,36.0,28.0
107,India,Bihar,Patna,"Samanpura, Patna - BSPCB",OZONE,21-10-2021 01:00:00,5.0,68.0,32.0
108,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",PM2.5,21-10-2021 01:00:00,87.0,260.0,138.0
109,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",PM10,21-10-2021 01:00:00,95.0,173.0,120.0
110,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",NO2,21-10-2021 01:00:00,26.0,134.0,58.0
111,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",NH3,21-10-2021 01:00:00,4.0,7.0,5.0
112,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",SO2,21-10-2021 01:00:00,7.0,35.0,15.0
113,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",CO,21-10-2021 01:00:00,34.0,104.0,40.0
114,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",OZONE,21-10-2021 01:00:00,11.0,219.0,200.0
115,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",PM2.5,21-10-2021 01:00:00,51.0,86.0,66.0
116,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",PM10,21-10-2021 01:00:00,78.0,125.0,99.0
117,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",NO2,21-10-2021 01:00:00,6.0,86.0,26.0
118,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",NH3,21-10-2021 01:00:00,8.0,23.0,12.0
119,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",SO2,21-10-2021 01:00:00,2.0,11.0,6.0
120,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",CO,21-10-2021 01:00:00,36.0,86.0,41.0
121,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",OZONE,21-10-2021 01:00:00,3.0,67.0,22.0
122,India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",PM2.5,21-10-2021 01:00:00,31.0,162.0,61.0
123,India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",PM10,21-10-2021 01:00:00,43.0,121.0,78.0
124,India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",NO2,21-10-2021 01:00:00,15.0,20.0,17.0
125,India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",SO2,21-10-2021 01:00:00,9.0,15.0,12.0
126,India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",CO,21-10-2021 01:00:00,7.0,75.0,55.0
127,India,Delhi,Delhi,"Alipur, Delhi - DPCC",PM2.5,21-10-2021 01:00:00,88.0,315.0,223.0
128,India,Delhi,Delhi,"Alipur, Delhi - DPCC",PM10,21-10-2021 01:00:00,105.0,403.0,199.0
129,India,Delhi,Delhi,"Alipur, Delhi - DPCC",NO2,21-10-2021 01:00:00,8.0,109.0,48.0
130,India,Delhi,Delhi,"Alipur, Delhi - DPCC",NH3,21-10-2021 01:00:00,,,
131,India,Delhi,Delhi,"Alipur, Delhi - DPCC",SO2,21-10-2021 01:00:00,6.0,15.0,9.0
132,India,Delhi,Delhi,"Alipur, Delhi - DPCC",CO,21-10-2021 01:00:00,30.0,83.0,38.0
133,India,Delhi,Delhi,"Alipur, Delhi - DPCC",OZONE,21-10-2021 01:00:00,2.0,69.0,19.0
134,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",PM2.5,21-10-2021 01:00:00,113.0,344.0,235.0
135,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",PM10,21-10-2021 01:00:00,,,
136,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",NO2,21-10-2021 01:00:00,75.0,171.0,128.0
137,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",NH3,21-10-2021 01:00:00,3.0,9.0,6.0
138,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",SO2,21-10-2021 01:00:00,15.0,33.0,24.0
139,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",CO,21-10-2021 01:00:00,,,
140,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",OZONE,21-10-2021 01:00:00,4.0,47.0,15.0
141,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",PM2.5,21-10-2021 01:00:00,85.0,233.0,139.0
142,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",PM10,21-10-2021 01:00:00,129.0,281.0,190.0
143,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",NO2,21-10-2021 01:00:00,10.0,51.0,30.0
144,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",NH3,21-10-2021 01:00:00,3.0,5.0,4.0
145,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",SO2,21-10-2021 01:00:00,12.0,38.0,25.0
146,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",CO,21-10-2021 01:00:00,10.0,130.0,27.0
147,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",OZONE,21-10-2021 01:00:00,8.0,147.0,44.0
148,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",PM2.5,21-10-2021 01:00:00,60.0,274.0,136.0
149,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",PM10,21-10-2021 01:00:00,111.0,206.0,148.0
150,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",NO2,21-10-2021 01:00:00,16.0,45.0,28.0
151,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",CO,21-10-2021 01:00:00,2.0,122.0,7.0
152,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",OZONE,21-10-2021 01:00:00,15.0,25.0,20.0
153,India,Delhi,Delhi,"Bawana, Delhi - DPCC",PM2.5,21-10-2021 01:00:00,83.0,348.0,240.0
154,India,Delhi,Delhi,"Bawana, Delhi - DPCC",PM10,21-10-2021 01:00:00,133.0,423.0,205.0
155,India,Delhi,Delhi,"Bawana, Delhi - DPCC",NO2,21-10-2021 01:00:00,3.0,71.0,23.0
156,India,Delhi,Delhi,"Bawana, Delhi - DPCC",NH3,21-10-2021 01:00:00,5.0,6.0,5.0
157,India,Delhi,Delhi,"Bawana, Delhi - DPCC",SO2,21-10-2021 01:00:00,4.0,16.0,5.0
158,India,Delhi,Delhi,"Bawana, Delhi - DPCC",CO,21-10-2021 01:00:00,18.0,95.0,31.0
159,India,Delhi,Delhi,"Bawana, Delhi - DPCC",OZONE,21-10-2021 01:00:00,3.0,62.0,19.0
160,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",PM2.5,21-10-2021 01:00:00,54.0,321.0,177.0
161,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",PM10,21-10-2021 01:00:00,104.0,237.0,152.0
162,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",NO2,21-10-2021 01:00:00,21.0,33.0,26.0
163,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",CO,21-10-2021 01:00:00,102.0,161.0,105.0
164,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",OZONE,21-10-2021 01:00:00,15.0,36.0,18.0
165,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",PM2.5,21-10-2021 01:00:00,43.0,247.0,137.0
166,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",PM10,21-10-2021 01:00:00,111.0,408.0,220.0
167,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",NO2,21-10-2021 01:00:00,4.0,84.0,15.0
168,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",NH3,21-10-2021 01:00:00,7.0,8.0,8.0
169,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",SO2,21-10-2021 01:00:00,6.0,22.0,11.0
170,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",CO,21-10-2021 01:00:00,75.0,123.0,87.0
171,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",OZONE,21-10-2021 01:00:00,1.0,32.0,11.0
172,India,Delhi,Delhi,"DTU, Delhi - CPCB",PM2.5,21-10-2021 01:00:00,86.0,336.0,199.0
173,India,Delhi,Delhi,"DTU, Delhi - CPCB",PM10,21-10-2021 01:00:00,113.0,261.0,164.0
174,India,Delhi,Delhi,"DTU, Delhi - CPCB",NO2,21-10-2021 01:00:00,28.0,138.0,73.0
175,India,Delhi,Delhi,"DTU, Delhi - CPCB",NH3,21-10-2021 01:00:00,10.0,35.0,19.0
176,India,Delhi,Delhi,"DTU, Delhi - CPCB",SO2,21-10-2021 01:00:00,6.0,8.0,7.0
177,India,Delhi,Delhi,"DTU, Delhi - CPCB",CO,21-10-2021 01:00:00,29.0,122.0,49.0
178,India,Delhi,Delhi,"DTU, Delhi - CPCB",OZONE,21-10-2021 01:00:00,20.0,86.0,31.0
179,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",PM2.5,21-10-2021 01:00:00,70.0,303.0,174.0
180,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",PM10,21-10-2021 01:00:00,131.0,281.0,173.0
181,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",NO2,21-10-2021 01:00:00,74.0,141.0,106.0
182,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",NH3,21-10-2021 01:00:00,3.0,6.0,4.0
183,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",SO2,21-10-2021 01:00:00,5.0,11.0,8.0
184,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",CO,21-10-2021 01:00:00,22.0,119.0,32.0
185,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",OZONE,21-10-2021 01:00:00,4.0,168.0,48.0
186,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",PM2.5,21-10-2021 01:00:00,67.0,333.0,208.0
187,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",PM10,21-10-2021 01:00:00,175.0,500.0,293.0
188,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",NO2,21-10-2021 01:00:00,11.0,69.0,36.0
189,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",NH3,21-10-2021 01:00:00,1.0,13.0,10.0
190,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",SO2,21-10-2021 01:00:00,1.0,8.0,4.0
191,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",CO,21-10-2021 01:00:00,5.0,124.0,41.0
192,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",OZONE,21-10-2021 01:00:00,1.0,16.0,6.0
193,India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",PM2.5,21-10-2021 01:00:00,14.0,96.0,49.0
194,India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",PM10,21-10-2021 01:00:00,120.0,220.0,156.0
195,India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",NO2,21-10-2021 01:00:00,49.0,110.0,77.0
196,India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",CO,21-10-2021 01:00:00,90.0,108.0,105.0
197,India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",OZONE,21-10-2021 01:00:00,9.0,21.0,10.0
198,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",PM2.5,21-10-2021 01:00:00,66.0,367.0,280.0
199,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",PM10,21-10-2021 01:00:00,133.0,180.0,153.0
200,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",NO2,21-10-2021 01:00:00,65.0,125.0,99.0
201,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",NH3,21-10-2021 01:00:00,7.0,29.0,15.0
202,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",SO2,21-10-2021 01:00:00,5.0,21.0,13.0
203,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",CO,21-10-2021 01:00:00,22.0,110.0,84.0
204,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",OZONE,21-10-2021 01:00:00,9.0,57.0,12.0
205,India,Delhi,Delhi,"ITO, Delhi - CPCB",PM2.5,21-10-2021 01:00:00,68.0,304.0,159.0
206,India,Delhi,Delhi,"ITO, Delhi - CPCB",NO2,21-10-2021 01:00:00,22.0,64.0,35.0
207,India,Delhi,Delhi,"ITO, Delhi - CPCB",NH3,21-10-2021 01:00:00,7.0,9.0,8.0
208,India,Delhi,Delhi,"ITO, Delhi - CPCB",SO2,21-10-2021 01:00:00,6.0,19.0,12.0
209,India,Delhi,Delhi,"ITO, Delhi - CPCB",CO,21-10-2021 01:00:00,34.0,178.0,43.0
210,India,Delhi,Delhi,"ITO, Delhi - CPCB",OZONE,21-10-2021 01:00:00,10.0,39.0,17.0
211,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",PM2.5,21-10-2021 01:00:00,,,
212,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",PM10,21-10-2021 01:00:00,,,
213,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",NH3,21-10-2021 01:00:00,,,
